user_id,song_name,play_count,duration,play_ratio,skipped,rating
user_001,Story Of A Lonely Guy,5,130,0.48,0,2.56
user_001,"Whoa, I'm Woeful",15,127,0.1,1,0.49
user_001,Man In The Hat,2,160,0.98,0,2.88
user_001,Feelings Mutual,6,298,0.03,1,0.04
user_001,This Feeling,14,142,0.89,0,3.35
user_001,Alive With the Glory of Love,2,250,0.36,0,2.17
user_001,Ill Mind of Hopsin 4,3,187,0.97,0,3.82
user_001,Blood Pressure,16,148,0.62,0,2.9
user_001,Life Goes On,7,297,0.11,1,0.0
user_001,Thick Niggas and Anime Tiddies,1,200,0.03,1,0.0
user_001,Glamorous,10,188,0.43,0,2.33
user_001,Forever,4,268,0.64,0,2.44
user_001,Cameras,1,123,0.2,1,0.0
user_001,make up,18,163,0.91,0,3.46
user_001,THICK,14,163,0.82,0,3.13
user_001,#1,12,246,0.78,0,2.29
user_001,You Ain't Got Nuthin,16,275,0.64,0,3.0
user_001,Riot,13,161,0.88,0,3.99
user_001,Rodeo - feat. Nas,11,212,0.81,0,2.48
user_001,The Life - Album Version Edit (Explicit),18,245,0.58,0,2.99
user_001,Any Day,6,228,0.79,0,2.8
user_001,Stir Fry,4,211,0.61,0,2.81
user_001,Super Mario World,2,291,0.3,0,2.01
user_001,Cough Syrup,11,223,0.97,0,3.46
user_001,"Nigga What, Nigga Who (Originator 99)",10,198,0.73,0,2.99
user_001,It Takes Time,1,174,0.15,1,0.27
user_001,Outside,13,206,0.65,0,3.34
user_001,Verbal Intercourse (feat. Ghostface Killah & Nas),9,133,0.32,0,1.35
user_001,Shake That Monkey (feat. Lil' Jon & The EastSide Boyz),10,259,0.81,0,3.68
user_001,BOY BYE,16,176,0.14,1,0.0
user_001,Luxury,19,144,0.97,0,4.34
user_001,Energy,3,128,0.05,1,0.0
user_001,ball w/o you,13,297,0.93,0,3.41
user_001,Shake Ya Tailfeather - Radio Edit,4,213,0.97,0,3.03
user_001,Tic Tac,6,191,0.03,1,0.0
user_001,Shook Ones - Freestyle,3,208,0.93,0,3.14
user_001,Ride,18,275,0.46,0,2.23
user_001,"No Endz, No Skinz",16,214,0.15,1,0.0
user_001,Sunshine (feat. Lea),11,255,0.8,0,3.54
user_001,Audi.,11,286,0.32,0,2.09
user_001,Obey The Walrus,17,294,0.28,1,0.35
user_001,summer depression,10,258,0.19,1,0.0
user_001,Freaky Gurl,12,182,0.25,1,0.53
user_001,LOVE. FEAT. ZACARI.,10,147,0.59,0,3.13
user_001,She Cheated Again,1,260,0.04,1,0.0
user_001,3 A.M.,2,204,0.56,0,2.71
user_001,Change Clothes,7,129,0.66,0,2.58
user_001,BLACK PARADE,20,194,0.5,0,2.31
user_001,Conversations,16,281,0.69,0,3.27
user_001,RLNDT,7,246,0.81,0,3.24
user_001,Hootie Hoo,1,131,0.96,0,2.95
user_001,Don't Come Out The House (with 21 Savage),16,260,0.56,0,1.88
user_001,Warm (feat. Mia),3,213,0.92,0,2.41
user_001,Pornography,5,206,0.44,0,2.6
user_001,Super Charger Heaven,4,134,0.54,0,2.58
user_001,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",6,132,0.8,0,2.7
user_001,Intro,1,284,0.29,1,0.39
user_001,Ima Boss (feat. Rick Ross),9,281,0.31,0,2.1
user_001,MHB's,7,269,0.93,0,3.38
user_001,Girlfriend,7,182,0.59,0,2.65
user_001,Voice Of A Generation,8,273,0.77,0,3.24
user_001,Resurrection,15,279,0.72,0,3.17
user_001,I'm Legit,4,262,0.56,0,2.64
user_001,City Of Ocala,11,201,0.62,0,2.96
user_001,Fight for Me,10,148,0.88,0,2.85
user_001,F-U (feat. Meek Mill),5,299,0.07,1,0.15
user_001,Rich Niggaz,15,289,0.18,1,0.2
user_001,Un Beso de Desayuno,7,179,0.89,0,3.42
user_001,Such a Whore (Stellular Remix),18,171,0.43,0,2.76
user_001,Shake Ya Ass,15,194,0.14,1,0.0
user_001,Bitter Fuck,14,171,0.58,0,2.89
user_001,Fuck You,1,237,0.9,0,3.64
user_001,I Can Do Dat,7,276,0.25,1,0.74
user_001,Love Game,14,225,0.63,0,2.54
user_001,Dirty Mack,16,261,0.62,0,2.88
user_001,Show Them To Me,6,211,0.05,1,0.0
user_001,Denial,2,293,0.72,0,2.57
user_001,Black Cadillacs,18,128,0.64,0,3.32
user_001,Freak,20,225,0.34,0,2.6
user_001,Go Hard (La.La.La),6,243,0.73,0,2.29
user_001,Let's Ride,15,204,0.39,0,2.77
user_001,Paint It Black,18,265,0.75,0,3.6
user_001,Paris,8,139,0.83,0,2.43
user_001,Bottom Of The Map,13,300,0.02,1,0.0
user_001,The Last Chair Violinist (feat. Carolyn Rodriguez),12,291,0.93,0,3.68
user_001,Fat Lip,5,173,0.68,0,2.76
user_001,Hermit the Frog,10,283,0.24,1,0.43
user_001,Hazey,15,171,0.01,1,0.0
user_001,6PM In New York,8,179,0.72,0,2.45
user_001,Roses (with Juice WRLD feat. Brendon Urie),3,262,0.56,0,2.89
user_001,Ill Mind of Hopsin 5,15,253,0.06,1,0.18
user_001,Greed Hate Envy,3,139,0.96,0,3.47
user_001,Out Here Grindin',14,147,0.27,1,0.22
user_001,Somebody Else,12,170,0.84,0,3.04
user_001,Spread,17,151,0.24,1,1.01
user_001,Opaul,6,190,0.09,1,0.0
user_001,I'm Not Okay (I Promise),20,125,0.38,0,2.93
user_001,I duckinf hatw you,2,263,0.08,1,0.0
user_001,Like I Used To,19,160,0.12,1,0.6
user_001,Take The Power Back - Demo,12,208,0.21,1,0.29
user_001,Jumpdafuckup,15,227,0.69,0,2.46
user_001,Yikes,13,282,0.63,0,2.47
user_001,Truffle Butter,11,287,0.24,1,0.65
user_001,Hot Nigga,17,247,0.18,1,0.0
user_001,Mainstream,9,151,0.06,1,0.0
user_001,Spare Me The Details,14,144,0.92,0,3.16
user_001,Down Rodeo,1,216,0.31,0,1.61
user_001,Shotz to Tha Double Glock,18,292,0.9,0,3.83
user_001,Get up on My Level,11,219,0.16,1,0.0
user_001,Alligator Skin Boots,19,243,0.88,0,4.04
user_001,Get Up 10,3,149,0.38,0,1.64
user_001,Foundations,14,221,0.62,0,2.82
user_001,Heart Of The City (Ain't No Love),6,199,0.24,1,0.69
user_001,Don't Ever Fucking Question That,17,275,0.15,1,0.34
user_001,Thank Me Now,5,193,0.14,1,0.16
user_001,Letter 2 U,2,198,0.37,0,2.07
user_001,Me You,2,281,0.21,1,0.0
user_002,Our Day Will Come,18,141,0.44,0,2.1
user_002,Caravan,17,225,0.89,0,3.32
user_002,"Sonata No. 3, BWV 1005, in C: Fugue: Alla breve",1,231,0.76,0,3.23
user_002,You're My Greatest Love,7,129,0.72,0,3.1
user_002,Saturday Night Shuffle - Instrumental,18,207,0.14,1,0.0
user_002,Walkin' The Strings - Instrumental,18,247,0.33,0,2.37
user_002,クロとシロ,14,276,0.08,1,0.0
user_002,The White Birch & The Sycamore,8,156,0.94,0,2.69
user_002,Blues Triste,11,244,0.17,1,0.0
user_002,"Verdi: La traviata, Act 3: ""Prendi, quest'e l'immagine"" (Germont, Violetta, Alfredo, Annina, Doctor)",3,173,0.44,0,2.54
user_002,"Le Nozze di Figaro, '(The) Marriage of Figaro', Act III: Hai già vinta la causa!...Vedro, mentr'io sospiro (Conte)",6,282,0.72,0,2.34
user_002,Waitin' For Katy,9,154,0.23,1,0.07
user_002,Granada,9,217,0.43,0,1.64
user_002,Non sei felice,12,147,0.8,0,3.27
user_002,Effervescent Blues,19,229,0.98,0,3.27
user_002,He Kan Chhod Re Maro Chedlo,3,214,0.93,0,3.49
user_002,For Once In My Life - 2011 Remaster,9,277,0.88,0,2.8
user_002,The Red Blouse,9,241,0.34,0,2.17
user_002,Delia,16,212,0.32,0,2.28
user_002,Pussy Cat Dues,10,203,1.0,0,3.52
user_002,Drinking Blues,18,290,0.77,0,2.77
user_002,"The Young Person's Guide to the Orchestra: Variation I: Flute, Piccolo (Presto)",15,279,0.61,0,3.05
user_002,Finale: Any Dream Will Do / Give Me My Colored Coat,13,275,0.08,1,0.06
user_002,September Song,20,264,0.31,0,2.5
user_002,"Faryomert, Farklogt (From ""Doktor Alamasada"")",3,256,0.17,1,0.0
user_002,"Love Me Or Leave Me - From the film, ""Love Me or Leave Me""",8,121,0.88,0,2.96
user_002,Rien Qu'une Nuit,12,143,0.59,0,3.23
user_002,Awful Lonely,13,138,0.25,1,0.12
user_002,Barrio Reo - Remasterizado,6,259,0.71,0,1.95
user_002,Afternoon,13,131,0.5,0,1.61
user_002,"French Suite No. 6 in E Major, BWV 817: VII. Bourée",19,153,0.82,0,3.9
user_002,Christmas Comes to Us All Once a Year,19,289,0.66,0,3.11
user_002,I Dreamed a Dream,4,242,0.07,1,0.0
user_002,Easy Does It,13,144,0.94,0,3.77
user_002,Lopez Contreras,5,186,0.98,0,3.66
user_002,More,2,243,0.94,0,3.82
user_002,Unsere Marine,6,269,0.25,1,0.32
user_002,I'll Be Around (feat. Mildred Bailey),4,272,0.67,0,2.43
user_002,The Red Hills of Utah,10,129,0.71,0,3.1
user_002,Μανές Μπέιογλου,6,143,0.15,1,0.1
user_002,Horizonte Azul - Remasterizado,1,237,0.89,0,3.04
user_002,Pak Pak Pakak Pak,3,296,0.57,0,2.7
user_002,Sometimes I Feel Like A Motherless Child,20,151,0.38,0,2.17
user_002,Maa Kisne Diya Bujhaya,20,193,0.6,0,3.47
user_002,Bianca's Wedding (We Open in Venice),20,196,0.7,0,3.2
user_002,Now At Last,13,249,0.42,0,1.89
user_002,"Violin Sonata in A Major, D. 574, Op. 162: II. Scherzo - Presto",17,267,0.19,1,0.85
user_002,Croquis et agaceries d'un gros bonhomme en bois: III. Españaña,15,255,0.58,0,2.95
user_002,Silbando Mambo,14,172,0.88,0,2.82
user_002,Heartbeat - 2006 Remastered Version,9,210,0.89,0,3.18
user_002,"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro",10,183,0.61,0,1.88
user_002,Symphony No. 96 in D ‘Miracle’: IV Vivace assai,6,210,0.29,1,0.21
user_002,My Coloring Book,8,126,0.92,0,3.39
user_002,"Piano Trio, Op. 8 in B: Scherzo: Allegro molto -- Meno allegro",20,214,0.72,0,3.51
user_002,"Symphony No. 2 in D Major, Op. 36: III. Scherzo (Allegro)",5,120,0.57,0,2.76
user_002,Wysteria,5,138,0.67,0,1.83
user_002,Tere Liye Laai Hoon Sandesa,16,155,0.42,0,1.58
user_002,"La Traviata: Ah, gran Dio, morir si giovane",18,178,0.08,1,0.06
user_002,"Fidelio, Op. 72: Heil sei dem Tag!",8,279,0.25,1,0.0
user_002,How Deep In Love Am I,4,250,0.55,0,1.82
user_002,Summer Is Gone,12,135,0.47,0,1.55
user_002,I Think It's Going to Rain Today,20,141,0.78,0,3.01
user_002,"Verdi : Luisa Miller : Act 3 ""La tomba è un letto sparso di fiori"" [Luisa, Miller]",3,225,0.98,0,2.96
user_002,I'm In The Mood For Love,4,196,0.71,0,2.94
user_002,Broadway Melody of 1940: Begin the Biguine,5,146,0.88,0,3.41
user_002,The Gears,2,264,0.22,1,0.45
user_002,Teraey Gheiry We Tebtesem,18,299,0.57,0,3.14
user_002,"Quartet No. 14 in G Major for Strings, K. 387: II. Menuetto - Allegretto - Trio",10,230,0.47,0,2.05
user_002,When You're In Love - (Reprise) [Outtake],17,200,0.67,0,2.97
user_002,Natural Born Lover,4,259,0.51,0,1.94
user_002,Throw Out The Life Line,2,142,0.06,1,0.0
user_002,"Verdi : Luisa Miller : Act 3 ""Ah! l'ultima preghiera in questo caro suolo"" [Luisa, Rodolfo]",16,152,0.19,1,0.32
user_002,Don't Get Enough - Jam Mix,3,194,0.06,1,0.0
user_002,Push Push (feat. Duane Allman),3,243,0.86,0,2.7
user_002,Time After Time,13,194,0.26,1,0.96
user_002,Can You Read My Mind - Love Theme From Superman,8,183,0.98,0,4.1
user_002,You Belong To Me,16,218,0.33,0,1.94
user_002,"Sonata No. 7, Op. 30, No. 2 in C Minor: Trio",10,214,0.36,0,1.82
user_002,Kyon Karti Hai Yeh Bahana,1,276,0.51,0,2.02
user_002,Sunny Afternoon,3,250,0.66,0,1.82
user_002,Happiness Is A Thing Called Joe,20,227,0.92,0,2.99
user_002,Young And Foolish,16,161,0.15,1,0.48
user_002,The Great Waldo Pepper March (From The Great Waldo Pepper),17,259,0.53,0,2.56
user_002,"Wagner: Tristan und Isolde, Act 3: ""Dolce e calmo"" (Isolde's Liebestod)",5,255,0.66,0,3.18
user_002,在我們小時候,10,155,0.52,0,2.28
user_002,"Pagliacci: Act II: Scene 2: È dessa! Dei, com'è bella!",14,126,0.21,1,0.0
user_002,Madre Hay una Sola - Remasterizado,11,178,0.69,0,2.53
user_002,The Haunted House,5,296,0.42,0,2.35
user_002,"Etude in D-Flat Major, Op. 8, No. 10: Allegro - Remastered",15,124,0.73,0,2.58
user_002,Somebody Bigger Than You and I,5,159,0.4,0,2.15
user_002,Ebony Concerto: I. Allegro moderato,9,267,0.66,0,3.11
user_002,Como Agoniza la Flor - Remasterizado,17,156,0.38,0,2.11
user_002,The Lady Is A Tramp,3,257,0.49,0,1.35
user_002,Do You Know What? - Instrumental,14,294,0.84,0,3.49
user_002,All I Ask Of You - Reprise,12,170,0.33,0,2.42
user_002,You Take My Breath Away,16,184,0.55,0,1.8
user_002,"Pelléas et Mélisande (2006 Digital Remaster), Act IV, Scene Three: Oh! Cette pierre est lourde...(Yniold/Le berger)",8,189,0.98,0,3.67
user_002,Seguiriya,14,248,0.5,0,2.76
user_002,"Goldberg Variations, BWV 988: Variation 18 a 1 Clav. Canone alla Sesta",12,298,0.57,0,1.81
user_002,"Haydn: String Quartet No. 28 in E-Flat Major, Op. 20 No. 1, Hob. III, 31: II. Menuetto (Allegretto)",8,223,1.0,0,3.61
user_002,Seven Shades Of Snow,17,240,0.38,0,1.8
user_002,Frosty The Snowman,16,156,0.91,0,2.97
user_002,Hajji Baba (Persian Lament),3,178,0.52,0,1.5
user_002,Jimtown Blues,5,207,0.83,0,3.07
user_002,Don't Take Your Love From Me - Remastered,12,166,0.27,1,0.0
user_002,Lonely Town,6,289,0.06,1,0.0
user_002,"Lucia di Lamermoor: Act II: Scene 2: Appressati, Lucia... Il pallor, funesto, orrendo",9,195,0.39,0,2.56
user_002,"Goldberg Variations, BWV 988: Variation 14 a 2 Clav.",16,170,0.14,1,0.54
user_002,Left Field,10,178,0.6,0,1.78
user_002,Embraceable You - Remastered,5,128,0.98,0,3.87
user_002,South Pacific: Bali Ha'i,15,140,0.1,1,0.0
user_002,Manaki mou,20,172,0.64,0,3.37
user_002,I've Got A Crush On You - from Strike Up The Band,16,260,0.68,0,3.58
user_002,"Die Lustige Witwe (2001 - Remaster), Act II: Es waren zwei Königskinder...Ich gehe zu Maxim (Hanna/Chor/Camille/Valencinne/Danilo/Zeta)",16,181,0.01,1,0.15
user_002,Tears and Wine,1,223,0.89,0,2.8
user_002,Minor Meeting,19,141,0.87,0,3.3
user_002,Todo Corazón - Remasterizado,4,212,0.98,0,3.36
user_002,Milonga de Ataño - Instrumental (Remasterizado),20,202,0.56,0,2.81
user_002,Dead Man Blues,13,233,0.91,0,3.43
user_002,"Puccini: La Bohème, Act 1: ""Ehi! Rodolfo! … O soave fanciulla, o dolce viso"" (Schaunard, Colline, Marcello, Rodolfo, Mimi)",17,214,0.02,1,0.0
user_002,Spring Is Here,9,137,0.15,1,0.0
user_002,Because,4,204,0.97,0,3.16
user_002,Varca lucente,20,136,0.68,0,3.66
user_002,"Verdi : La forza del destino : Act 3 ""Qua, vivandiere, un sorso"" [Chorus, Preziosilla]",17,166,0.08,1,0.02
user_002,Coplas de la Defensa de Madrid - Remastered,13,184,1.0,0,3.43
user_002,"That Sunday, That Summer",15,182,0.59,0,2.39
user_002,Pasqualino 'O Maraggià - Instrument and base Version,8,153,0.95,0,3.35
user_002,Blood on the Floor,17,253,0.04,1,0.0
user_002,I Can't Escape From You,1,161,0.72,0,2.48
user_002,Survival - 2003 Remaster,17,293,0.47,0,2.76
user_002,Yo Me Mato - Instrumental (Remasterizado),10,203,0.3,0,1.58
user_002,But Not For Me,3,212,0.76,0,2.69
user_002,Stranger In Paradise,9,163,0.39,0,1.78
user_002,Jana Gana Mana Adhinayak,14,253,0.81,0,3.39
user_002,Ave Maria,16,129,0.94,0,4.05
user_002,"Violin Sonata No.9 in A Major, Op. 47 ""Kreutzer"": Variation III",2,171,0.57,0,2.06
user_002,Der Bettelstudent: Nimm mein Herz in deine Hände,5,245,0.38,0,1.45
user_002,(I Don't Stand) a Ghost of a Chance (With You) - Remastered,12,129,0.33,0,1.41
user_002,Padmaskovniye Vyechera (Moscow Evenings),19,130,0.68,0,2.38
user_002,"Laga Ussetu Madadgar Hai (From ""Ban Phool"")",18,266,0.26,1,0.46
user_002,Sta Salona,1,165,0.28,1,0.01
user_002,All Through the Night,9,239,0.57,0,2.08
user_002,Gönül Yarası,9,238,0.16,1,0.0
user_002,I Can't Help It (If I'm Still In Love With You) - 1962 #24 Billboard Chart Hit,14,222,0.05,1,0.0
user_002,The Cattle Call,17,269,0.35,0,1.9
user_002,Give Me Strength,14,204,0.06,1,0.0
user_002,"Arabella, Op.79, TrV 263 / Act 1: Ich danke, Fräulein - Live",14,289,0.76,0,2.44
user_002,Bang Bang (My Baby Shot Me Down),11,287,0.78,0,3.57
user_002,Ayye Met Tha,18,255,0.54,0,2.46
user_002,Exeis Matakia,7,167,0.56,0,2.8
user_002,Chocolate Buttermilk,11,163,0.26,1,0.86
user_002,The Makings of You,18,151,0.72,0,2.32
user_002,"Die Meistersinger von Nürnberg - Act 1: ""David! Was stehst?""",4,125,0.5,0,1.91
user_002,Falling In And Out Of Love - Remastered 1988,6,210,0.21,1,0.0
user_002,Lullaby of Broadway,14,214,0.36,0,2.0
user_002,Gone With The Wind - 1958 Mono Mix,4,258,0.91,0,2.45
user_002,Troublesome Waters,3,275,0.38,0,2.38
user_002,A Shropshire Lad: The Lads in their Hundreds,5,288,0.84,0,3.51
user_002,Varvara,1,137,0.83,0,2.3
user_002,Chawt Asteray Rozhe,9,297,0.2,1,0.04
user_002,South Pacific (1949): Some Enchanted Evening - Voice,20,151,0.4,0,2.95
user_002,Amazing Grace,5,148,0.72,0,2.97
user_002,Nanha Sa Dil Deti Hoon Pardesi,2,211,0.39,0,1.28
user_002,I Know You Rider,15,268,0.98,0,3.74
user_002,"24 Preludes, Op. 28: Prelude No. 20 in C minor",17,267,0.79,0,3.81
user_002,Ami Chini Go Chini Tomare,18,291,0.85,0,3.09
user_002,Girl Crazy: Overture,5,137,0.91,0,3.1
user_002,A Portrait Of Jennie,15,259,0.66,0,3.09
user_002,Woh Kahte Hai Ki Ishq Ko,13,296,0.99,0,3.29
user_002,My Love Will Never Die,17,222,0.41,0,1.81
user_002,I Asked the Lord,17,216,0.77,0,2.47
user_002,Memphis Underground,11,267,0.94,0,2.84
user_002,Little Girl Blue,13,203,0.22,1,0.18
user_002,Moonlight In Vermont,16,143,0.59,0,2.65
user_002,Holiday For Bells,13,274,0.03,1,0.0
user_002,Satin Doll,4,298,0.95,0,3.68
user_002,Speak Low,1,181,0.55,0,2.6
user_002,Has He Got A Friend For Me,1,205,0.15,1,0.0
user_002,Freight Train Boogie,19,248,0.06,1,0.51
user_002,Hary Janos Suite: 6. Entrance of the Emperor and his Court,8,181,0.38,0,2.3
user_002,A Lover's Concerto,11,158,0.53,0,2.03
user_002,Big Louise,20,140,0.34,0,2.59
user_002,Bob's Major Award,1,276,0.27,1,0.32
user_002,Señor Comisario - Remasterizado,15,233,0.23,1,0.23
user_002,Air A Danser - 2008 Digital Remaster,7,134,0.61,0,2.87
user_002,"Messiah, HWV 56, Pt. 2: All we like sheep have gone astray - Chorus",16,192,0.01,1,0.03
user_002,You'll Never Walk Alone,20,227,0.25,1,0.24
user_002,How Long Has This Been Going On - 2015 Remastered Version,11,256,0.74,0,3.6
user_002,Contemplation - Remastered,5,136,0.93,0,3.11
user_002,Tere Kajra Lagaoon Mori Rani,8,201,0.86,0,3.79
user_002,Ta mallia ta gkriza,1,283,0.46,0,1.98
user_002,White Christmas,16,160,0.54,0,1.84
user_002,Freedom / I'm On My Way,11,137,0.66,0,3.29
user_002,Little Pig,20,216,0.9,0,2.96
user_002,Evening Falls,2,141,0.89,0,2.54
user_002,"Les pêcheurs de perles, WD 13 / Act 1: ""Je crois entendre encore""",4,240,0.1,1,0.0
user_002,Ciertos Amores - Instrumental (Remasterizado),2,159,0.24,1,0.15
user_002,The Lord's Prayer,20,131,0.95,0,3.18
user_002,Koyaliya Kahe Bole Ri,2,121,0.95,0,2.62
user_002,心酸酸,20,243,0.53,0,2.89
user_003,黑色毛衣,16,282,0.13,1,0.0
user_003,Ditty,11,241,0.48,0,2.44
user_003,חי,8,245,0.28,1,0.41
user_003,Pieces of What,12,206,0.7,0,3.48
user_003,シムーン,20,159,0.93,0,3.55
user_003,Nowhere Fast - 2011 Remaster,5,235,0.06,1,0.0
user_003,Altogether Alone,11,194,0.77,0,2.55
user_003,Mighty Mighty,10,231,0.84,0,3.08
user_003,Vitamin C - 2004 Remastered Version,14,142,0.65,0,3.19
user_003,Ain't Nothin' Goin' On But The Rent,3,194,0.46,0,1.67
user_003,"For the Love of You, Pts. 1 & 2",9,258,0.47,0,2.54
user_003,It's Gonna Be Me,4,275,0.8,0,2.37
user_003,Feel Your Weight - Poolside Remix,3,148,0.33,0,1.96
user_003,The Beat,15,229,0.13,1,0.0
user_003,Journal of Ardency,19,285,0.52,0,2.46
user_003,Weak,5,260,0.48,0,2.28
user_003,She's Royal,20,220,0.34,0,2.74
user_003,Get Up (Before The Night Is Over),20,201,0.07,1,0.0
user_003,Love Me Till the Sun Shines - Mono Mix,17,247,0.79,0,2.87
user_003,Desaparecido,8,155,0.89,0,2.67
user_003,"Summertime, Summertime",17,170,0.55,0,2.77
user_003,Treat Them Like They Want To Be Treated,5,185,0.58,0,2.63
user_003,Fite Dem Back,19,217,0.45,0,1.93
user_003,Mirage,7,279,0.9,0,2.59
user_003,Permanent Lover - 1990 Digital Remaster,11,248,0.36,0,1.7
user_003,Guess Who's Back,17,211,0.49,0,2.99
user_003,Too Much,18,213,0.92,0,3.1
user_003,Laughing,15,271,0.95,0,3.45
user_003,My Favorite Mistake,8,298,0.9,0,3.57
user_003,Right Here - Human Nature Radio Mix,16,288,0.68,0,2.95
user_003,Me Gusta,18,208,0.05,1,0.0
user_003,Strange,5,194,0.58,0,2.3
user_003,The Garden,12,191,0.64,0,2.07
user_003,Insomnio,17,246,0.46,0,2.61
user_003,The Conversation,4,202,0.23,1,0.16
user_003,Runaway (Bonus Mono Version),16,229,0.82,0,2.67
user_003,Hafanana,3,123,0.69,0,1.93
user_003,Don't Say Goodbye,9,290,0.98,0,3.29
user_003,So Into You,1,123,0.06,1,0.0
user_003,Just Another Dream,13,210,0.61,0,2.3
user_003,You Can't Hide from Yourself,12,121,0.04,1,0.0
